language,source_label,new_label,category,judge_reason_or_expl,sentence
en,Potentially Offensive,Correct,,,The critique that the language of intersectionality in LGBTQ+ discourse is overly academic overlooks the necessity of acknowledging the ways in which multiple identities intersect to shape experiences of marginalization and privilege.
en,Factually Incorrect,Factually Incorrect,Medicalization,"The sentence asserts the necessity of medical intervention for intersex variations as a factual baseline, which aligns w","Research indicates that intersex variations may involve atypical gonadal or karyotypic characteristics, and medical intervention is often necessary for health and well-being, though prevalence and need for intervention vary across individuals and populations."
he,Outdated,Correct,,,החששות המתמשכים כי הרחבת ההגנות על LGBTQ+ עלולה לערער את יציבות החברה היו טענות חוזרות ונשנות בדיון היסטורי.
he,Potentially Offensive,Correct,,,יש לבחון את ההשפעה הפוטנציאלית של הכללת זהויות LGBTQ+ על תפיסות מסורתיות של שיתוף פעולה משפחתי.
he,Outdated,Correct,,,תפיסות סוציולוגיות קשישות לעיתים קרובות הציעו כי אנשים עם נטייה הומוסקסואלית חוו קשיים הקשורים לביטוי זהותם המגדרית.
en,Potentially Offensive,Potentially Offensive,Medicalization,The sentence frames the recognition of non-cisgender identities as a source of 'controversy' and a challenge to medical ,...Recognition of non-cisgender identities may challenge current medical frameworks and lead to controversy surrounding patient care standards.
he,Potentially Offensive,Potentially Offensive,Generalization,"המשפט מציג את נוכחות הלהט״ב כגורם מאיים או מטריד המערער את יציבות המשפחה והחינוך, תוך שימוש בטיעון המדגיש קונפליקט במקום","חשוב לשקול כיצד הכללת נושאים LGBTQ+ עלולה לאתגר את הנורמות הבסיסיות של חיי המשפחה, מה שעלול להוביל לסכסוכים בסביבות חינוכיות."
en,Outdated,Correct,,,"Traditionally, men presenting with effeminate characteristics were frequently stigmatized as lacking strength or integrity."
he,Factually Incorrect,Factually Incorrect,Generalization,הטענה שגויה מבחינה עובדתית ומבטאת השמטה של קיומן ההיסטורי של מגדרים שאינם בינאריים בתרבויות שונות לאורך ההיסטוריה.,זהויות לא-בינאריות מודרניות אינן בעלות יסוד היסטורי או תרבותי.
en,Factually Incorrect,Correct,,,"The perpetuation of anti-gay prejudice and discrimination continues to stigmatize and marginalize the LGBTQ+ community, reinforcing harmful stereotypes that disparately affect mental and physical health outcomes."
en,Potentially Offensive,Correct,,,Is it accurate to assume that an individual's gender identity is consistently unchanging across their lifespan?
en,Outdated,Correct,,,Historical psychological perspectives occasionally maintained that homosexual individuals experienced incomplete masculine or feminine psychosocial differentiation.
en,Outdated,Correct,,,"Various medical texts historically classified lesbians under the term 'inverts', a diagnostic label now recognized as overly simplistic and stigmatizing."
en,Outdated,Correct,,,"Recent clinical perspectives have minimized attributing sexual orientation solely to maternal parenting styles, recognizing a complex interplay of biological and environmental factors."
he,Factually Incorrect,Correct,,,"בעבר נטען כי זהות מגדרית נקבעה באופן בלעדי על ידי כרומוזומים, תפיסה שהודרה בהדרגה על ידי התקדמות במחקר הגנטי ומחקרים רב-תחומיים."
en,Factually Incorrect,Correct,,,Research has found no empirical evidence to support the notion that bisexuality is merely a temporary stage in an individual's sexual orientation development. Such claims misrepresent the nature of bisexuality as a stable sexual identity.
en,Biased,Biased,Generalization,The sentence employs a speculative and essentialist framing that delegitimizes transgender identities by characterizing ,Recent research suggests that the visibility of transgender individuals may be a transient cultural phenomenon rather than a stable aspect of gender identity.
he,Potentially Offensive,Potentially Offensive,Medicalization,המשפט מציג דיספוריה מגדרית כבעיה בבריאות הנפש מבלי להביע עמדה ביקורתית כלפי הגישה המדבקת או להבהיר שמדובר בפרשנות שגויה.,"מורים מסוימים טוענים כי הדיספוריה שחווים תלמידים טרנסג'נדרים יכולה להתפרש כמצב בריאות הנפש, מה שיש לו השלכות על הסביבה בית הספר ומדיניותו."
he,Outdated,Correct,,,"בעבר, הצגה מגדרית הייתה כפופה לנורמות קפדניות, כאשר אי-התאמה נתפסה כמשקפת בעיות פסיכולוגיות או חברתיות עמוקות יותר."
en,Biased,Biased,Generalization,This sentence makes an inaccurate and essentialist generalization about asexual individuals by defining the identity thr,Individuals who self-identify as asexual have yet to engage in sexual encounters with individuals whose sexual orientations align with their own.
en,Biased,Correct,,,"The increasing acceptance of transgender identities may challenge current conceptions of biological sex, potentially leading to a reevaluation of sex binary categories."
en,Biased,Biased,Medicalization,The sentence presents a pathologizing view of gender identity as a condition to be treated rather than an identity to be,"Gender incongruence is a condition requiring intervention rather than recognition, according to some psychiatric perspectives."
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג הנחת יסוד המקשרת בין חוויות התפתחותיות לבין קביעת נטייה מינית, דבר שעלול להוות הכללה מהדהדת תיאוריות שגויות ו","חשיפה למערכות יחסים בין-מגדריות באותו מין במהלך התפתחות מוקדמת עשויה לקשור לנטייה מינית מוגברת מאוחר יותר בחיים, אך קשר זה אינו סיבתי."
